Date,Depression,Tiredness,Cronometer accurate?,Metta,Concentration,Mouth tape,Wake early morning,Morning sunlamp,Morning sun,Morning sun lux,
2024-09-15,0.5291,0.3537,0.8545,0.2255,0.3322,0.6122,0.9533,0.0226,0.4740,0.5506,
2024-09-14,0.5033,0.3183,0.9013,0.2379,0.3504,0.6457,0.9508,0.0239,0.4999,0.5260,
2024-09-13,0.5308,0.3358,0.8959,0.1962,0.3149,0.6263,0.9481,0.0252,0.5054,0.5000,
2024-09-12,0.5599,0.3542,0.8902,0.2023,0.3184,0.6606,0.0000,0.0266,0.5148,0.4726,
2024-09-11,0.5906,0.3188,0.8842,0.2134,0.3358,0.6968,0.0000,0.0280,0.4883,0.4437,
2024-09-10,0.6229,0.2815,0.8778,0.2114,0.2995,0.6802,0.0000,0.0296,0.4967,0.4133,
2024-09-09,0.6022,0.2421,0.8712,0.2184,0.2611,0.7174,0.0000,0.0312,0.4911,0.3811,
2024-09-08,0.5805,0.2554,0.8641,0.2030,0.2206,0.7567,0.0000,0.0329,0.4997,0.3472,
2024-09-07,0.6123,0.2694,0.8567,0.2141,0.2327,0.7434,0.0000,0.0347,0.4760,0.3115,
2024-09-06,0.6458,0.2294,0.8488,0.2167,0.1907,0.7294,0.0000,0.0366,0.4947,0.2738,
2024-09-05,0.6264,0.2419,0.8953,0.2286,0.2011,0.7145,0.0000,0.0386,0.5145,0.2340,
2024-09-04,0.6059,0.2552,0.8896,0.2320,0.2122,0.6989,0.0000,0.0407,0.5062,0.1921,
2024-09-03,0.5843,0.2692,0.8835,0.2219,0.1964,0.7372,0.0000,0.0429,0.5339,0.1478,
2024-09-02,0.5616,0.2839,0.8771,0.2203,0.2071,0.7228,0.0000,0.0453,0.5084,0.1011,
2024-09-01,0.5376,0.2447,0.8704,0.2141,0.2048,0.7076,0.0000,0.0478,0.4815,0.0519,
2024-08-31,0.5122,0.2581,0.8633,0.2076,0.2160,0.6916,0.0000,0.0504,0.4786,0.0000,
2024-08-30,0.5403,0.2722,0.8558,0.2190,0.2278,0.6747,0.0000,0.0531,0.4610,0.0000,
2024-08-29,0.5699,0.2871,0.8479,0.2310,0.2403,0.6569,0.0000,0.0560,0.4498,0.0000,
2024-08-28,0.5463,0.2481,0.8396,0.2436,0.2535,0.6381,0.0000,0.0591,0.4744,0.0000,
2024-08-27,0.5215,0.2069,0.8856,0.2570,0.2674,0.6731,0.0000,0.0623,0.4602,0.0000,
2024-08-26,0.4953,0.2182,0.9341,0.2710,0.2820,0.6551,0.0000,0.0658,0.4307,0.0000,
2024-08-25,0.5224,0.2302,0.9305,0.2768,0.2701,0.6910,0.0000,0.0694,0.3995,0.0000,
2024-08-24,0.5510,0.2428,0.9267,0.2828,0.2575,0.6741,0.0000,0.0732,0.3666,0.0000,
2024-08-23,0.5264,0.2561,0.9226,0.2983,0.2716,0.6563,0.0000,0.0772,0.3319,0.0000,
2024-08-22,0.5005,0.2701,0.9184,0.2872,0.2728,0.6922,0.0000,0.0814,0.2953,0.0000,
2024-08-21,0.5279,0.2849,0.9139,0.2482,0.2877,0.7301,0.0000,0.0859,0.3115,0.0000,
2024-08-20,0.5568,0.3005,0.9092,0.2435,0.3035,0.7153,0.0000,0.0906,0.2738,0.0000,
2024-08-19,0.5873,0.3170,0.9043,0.2569,0.3201,0.6997,0.0000,0.0955,0.2340,0.0000,
2024-08-18,0.6195,0.3343,0.8990,0.2572,0.3376,0.7381,0.0000,0.1007,0.1921,0.0000,
2024-08-17,0.6534,0.3526,0.8935,0.2166,0.3561,0.7237,0.0000,0.1063,0.1478,0.0000,
2024-08-16,0.6344,0.3720,0.8876,0.2010,0.3756,0.7086,0.0000,0.1121,0.1011,0.0000,
2024-08-15,0.6692,0.3923,0.8815,0.1847,0.3962,0.6926,0.0000,0.1182,0.0519,0.0000,
2024-08-14,0.6510,0.4138,0.8750,0.1765,0.4179,0.6758,0.0000,0.1247,0.0000,0.0000,
2024-08-13,0.6867,0.3817,0.8682,0.1497,0.4134,0.7128,0.0000,0.1315,0.0000,0.0000,
2024-08-12,0.7243,0.3478,0.8609,0.1396,0.3812,0.6971,0.0000,0.1387,0.0000,0.0000,
2024-08-11,0.7092,0.3121,0.8533,0.1473,0.3474,0.6805,0.0000,0.1463,0.0000,0.0000,
2024-08-10,0.6933,0.2745,0.8453,0.1553,0.3116,0.6630,0.0000,0.1543,0.0000,0.0000,
2024-08-09,0.7312,0.2895,0.8368,0.1502,0.3013,0.6445,0.0000,0.1464,0.0000,0.0000,
2024-08-08,0.7165,0.2506,0.8279,0.1264,0.3178,0.6251,0.0000,0.1325,0.0000,0.0000,
2024-08-07,0.7558,0.2643,0.8184,0.1060,0.2804,0.6045,0.0000,0.1178,0.0000,0.0000,
2024-08-06,0.7972,0.2788,0.8085,0.1118,0.2410,0.5829,0.0000,0.1243,0.0000,0.0000,
2024-08-05,0.7860,0.2940,0.7980,0.1179,0.2542,0.5600,0.0000,0.1311,0.0000,0.0000,
2024-08-04,0.7743,0.3101,0.7870,0.1244,0.2134,0.5359,0.0000,0.1383,0.0000,0.0000,
2024-08-03,0.7620,0.3271,0.7753,0.1312,0.2251,0.5105,0.0000,0.1458,0.0000,0.0000,
2024-08-02,0.7489,0.3451,0.7630,0.1384,0.2374,0.4837,0.0000,0.0990,0.0000,0.0000,
2024-08-01,0.7899,0.3639,0.7500,0.1459,0.1956,0.4554,0.0000,0.1045,0.0000,0.0000,
2024-07-31,0.7784,0.3291,0.7363,0.1448,0.1516,0.4804,0.0000,0.0828,0.0000,0.0000,
2024-07-30,0.7663,0.3471,0.7219,0.1299,0.1051,0.4519,0.0000,0.0545,0.0000,0.0000,
2024-07-29,0.7535,0.3661,0.7066,0.1370,0.1109,0.4219,0.0000,0.0246,0.0000,0.0000,
2024-07-28,0.7948,0.3862,0.6906,0.1445,0.1169,0.3902,0.0000,0.0260,0.0000,0.0000,
2024-07-27,0.7835,0.4074,0.6736,0.1525,0.1233,0.4116,0.0000,0.0000,0.0000,0.0000,
2024-07-26,0.8265,0.4297,0.6557,0.1608,0.1301,0.3794,0.0000,0.0000,0.0000,0.0000,
2024-07-25,0.8169,0.4532,0.6369,0.1696,0.1372,0.3454,0.0000,0.0000,0.0000,0.0000,
2024-07-24,0.8069,0.4780,0.6170,0.1789,0.1447,0.3095,0.0000,0.0000,0.0000,0.0000,
2024-07-23,0.7964,0.4494,0.5960,0.1887,0.1527,0.2717,0.0000,0.0000,0.0000,0.0000,
2024-07-22,0.8400,0.4740,0.5739,0.1990,0.1610,0.2318,0.0000,0.0000,0.0000,0.0000,
2024-07-21,0.8312,0.5000,0.5506,0.2099,0.1699,0.1898,0.0000,0.0000,0.0000,0.0000,
2024-07-20,0.8767,0.5274,0.5260,0.1667,0.1792,0.1454,0.0000,0.0000,0.0000,0.0000,
2024-07-19,0.8700,0.5563,0.5000,0.1347,0.1890,0.0986,0.0000,0.0000,0.0000,0.0000,
2024-07-18,0.9176,0.5867,0.4726,0.1421,0.1445,0.0492,0.0000,0.0000,0.0000,0.0000,
2024-07-17,0.9679,0.6189,0.4437,0.1362,0.0977,0.0519,0.0000,0.0000,0.0000,0.0000,
2024-07-16,0.9661,0.6528,0.4133,0.1436,0.1030,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-15,0.9643,0.6885,0.3811,0.1104,0.1087,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-14,0.9623,0.7262,0.3472,0.1165,0.1146,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-13,0.9602,0.7660,0.3115,0.1229,0.1209,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-12,0.9581,0.8079,0.2738,0.1296,0.1275,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-11,0.9558,0.8522,0.2340,0.1367,0.1345,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-10,0.9533,0.8989,0.1921,0.1442,0.1419,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-09,0.9508,0.9481,0.1478,0.1293,0.1497,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-08,0.9481,1.0000,0.1011,0.1363,0.1579,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-07,0.0000,0.0000,0.0519,0.1438,0.1665,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-06,0.0000,0.0000,0.0000,0.1243,0.1209,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-05,0.0000,0.0000,0.0000,0.1311,0.1275,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-04,0.0000,0.0000,0.0000,0.1383,0.1345,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-03,0.0000,0.0000,0.0000,0.1458,0.1418,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-02,0.0000,0.0000,0.0000,0.1538,0.1496,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-07-01,0.0000,0.0000,0.0000,0.1623,0.1578,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-06-30,0.0000,0.0000,0.0000,0.1711,0.1664,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-06-29,0.0000,0.0000,0.0000,0.1577,0.1208,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-06-28,0.0000,0.0000,0.0000,0.1390,0.0726,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-06-27,0.0000,0.0000,0.0000,0.0918,0.0492,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-06-26,0.0000,0.0000,0.0000,0.0968,0.0519,0.0000,0.0000,0.0000,0.0000,0.0000,
2024-06-25,0.0000,0.0000,0.0000,0.0519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
